time,age,gender,faculty,tiktok_hours,platforms,frequency,anxiety,high_self_esteem,jealousy,anxiety_after,comparison,negative_mood,unrealistic,unhealthy,pressure,self_esteem_awareness,confidence,positive_mood
2023/10/01 7:41:29 PM GMT+8,20,Female,Business,1,Instagram;Tiktok/ Douyin;YouTube;twitter,5,4,1,4,4,4,2,3,2,4,3,3,3
2023/10/09 10:38:58 AM GMT+8,21,Female,CHS,2,Instagram;Tiktok/ Douyin;YouTube,4,4,2,5,6,7,3,2,2,4,3,3,2
2023/10/09 10:40:26 AM GMT+8,22,Female,Law,1,Tiktok/ Douyin;YouTube,3,2,4,3,5,5,1,4,2,4,2,2,3
2023/10/09 10:41:48 AM GMT+8,19,Female,CHS,2,Tiktok/ Douyin;YouTube,3,3,4,4,5,6,3,4,2,5,2,3,3
2023/10/09 10:55:26 AM GMT+8,21,Female,CHS,0.5,Instagram;Tiktok/ Douyin,2,2,3,2,2,2,2,4,4,1,2,3,3
2023/10/09 11:03:51 AM GMT+8,20,Female,Business,1,Instagram;Tiktok/ Douyin,5,4,3,3,5,5,5,3,3,4,3,4,4
2023/10/09 11:27:05 AM GMT+8,23,Female,CHS,3,Tiktok/ Douyin,4,3,2,2,3,6,2,4,3,4,2,4,4
2023/10/09 11:32:49 AM GMT+8,21,Female,CHS,3,Instagram;Tiktok/ Douyin;YouTube,5,4,4,4,5,6,4,4,2,4,3,3,4
2023/10/09 11:34:22 AM GMT+8,21,Female,CHS,1,Instagram;Tiktok/ Douyin;Tumblr;YouTube,2,2,5,2,2,3,2,2,2,1,2,3,3
2023/10/09 11:45:10 AM GMT+8,20,Female,CDE,1,Instagram;Tiktok/ Douyin,3,2,2,6,2,5,5,5,3,4,2,2,2
2023/10/09 12:05:23 PM GMT+8,21,Female,Business,2,Instagram;Tiktok/ Douyin,3,4,2,4,2,3,5,4,2,4,3,2,3
2023/10/09 12:11:12 PM GMT+8,19,Female,CHS,2,Instagram;Tiktok/ Douyin,4,4,1,4,5,6,4,2,2,5,3,2,2
2023/10/09 4:24:09 PM GMT+8,21,Female,CHS,4,Instagram;Tiktok/ Douyin;YouTube,4,3,4,5,3,6,2,2,3,4,2,3,2
2023/10/09 4:26:14 PM GMT+8,20,Female,Business,0,Instagram;YouTube,2,3,3,5,5,4,4,4,4,3,3,3,3
